CustomerID,Lookalikes
C0001,"[('C0050', 0.48), ('C0163', 0.46), ('C0194', 0.41)]"
C0002,"[('C0030', 0.75), ('C0091', 0.46), ('C0173', 0.38)]"
C0003,"[('C0164', 0.63), ('C0144', 0.57), ('C0134', 0.54)]"
C0004,"[('C0133', 0.43), ('C0065', 0.39), ('C0082', 0.34)]"
C0005,"[('C0023', 0.53), ('C0096', 0.42), ('C0119', 0.4)]"
C0006,"[('C0040', 0.48), ('C0178', 0.43), ('C0026', 0.42)]"
C0007,"[('C0025', 0.69), ('C0079', 0.49), ('C0020', 0.45)]"
C0008,"[('C0165', 0.4), ('C0169', 0.34), ('C0144', 0.32)]"
C0009,"[('C0097', 0.76), ('C0058', 0.74), ('C0060', 0.68)]"
C0010,"[('C0013', 0.52), ('C0092', 0.49), ('C0029', 0.44)]"
C0011,"[('C0107', 0.52), ('C0120', 0.45), ('C0135', 0.42)]"
C0012,"[('C0066', 0.47), ('C0101', 0.46), ('C0168', 0.39)]"
C0013,"[('C0010', 0.52), ('C0067', 0.44), ('C0099', 0.39)]"
C0014,"[('C0128', 0.96), ('C0058', 0.7), ('C0097', 0.69)]"
C0015,"[('C0060', 0.82), ('C0062', 0.75), ('C0073', 0.67)]"
C0016,"[('C0196', 0.82), ('C0052', 0.78), ('C0187', 0.7)]"
C0017,"[('C0037', 0.49), ('C0071', 0.45), ('C0024', 0.43)]"
C0018,"[('C0177', 0.59), ('C0049', 0.4), ('C0081', 0.37)]"
C0019,"[('C0024', 0.49), ('C0017', 0.32), ('C0036', 0.32)]"
C0020,"[('C0078', 0.58), ('C0026', 0.52), ('C0058', 0.52)]"
